created_date,final_score,score
2012-04-11,0.477130651473999,2.8
2012-04-17,0.0,3.3333333333333335
2012-04-19,0.0,2.0
2012-04-21,0.6933856010437012,2.0
2012-04-23,0.1787303566932678,2.0
2012-04-24,-0.07725123167037964,2.6
2012-04-25,-0.27221561074256895,2.8
2012-04-26,-0.1084368348121643,2.4
2012-04-27,0.2425386667251587,2.6
2012-04-28,-0.43463913599650067,2.0
2012-04-30,0.21793625354766846,3.0
2012-05-01,0.1971569061279297,2.6
2012-05-02,-0.3763643503189087,3.0
2012-05-03,0.10125037431716918,3.0
2012-05-04,0.47123887538909914,3.6
2012-05-05,-0.200702965259552,2.0
2012-05-06,0.3239630162715912,2.0
2012-05-07,0.6844622492790222,2.2
2012-05-08,-0.19153802394866942,3.8
2012-05-09,-0.20086027979850768,2.2
2012-05-10,0.3141894221305847,4.4
2012-05-11,-0.22036505341529847,3.8
2012-05-12,0.3314907908439636,2.4
2012-05-13,-0.15246049165725709,3.2
2012-05-14,-0.17389342784881592,3.2
2012-05-15,0.1892857551574707,4.0
2012-05-16,-0.12001184821128845,3.8
2012-05-17,0.0,2.2
2012-05-18,-0.3840144157409668,3.6
2012-05-19,-0.44157750606536866,4.2
2012-05-20,-0.06270318031311035,3.4
2012-05-21,0.0398983359336853,4.8
2012-05-22,0.11972509622573853,3.6
2012-05-23,0.056944847106933594,3.0
2012-05-24,-0.36416618824005126,3.2
2012-05-25,0.17933197021484376,2.2
2012-05-26,0.17238013744354247,2.0
2012-05-27,0.0,2.0
2012-05-29,0.028763985633850096,3.6
2012-05-30,-0.006487107276916504,3.6
2012-05-31,-4.646778106689453e-05,2.2
2012-06-01,-0.011184847354888916,3.6
2012-06-02,0.06684376001358032,2.8
2012-06-03,-0.6897660493850708,3.0
2012-06-04,0.12161351243654887,3.0
2012-06-05,-0.09598178267478943,3.2
2012-06-06,0.10934646725654602,3.8
2012-06-07,-0.05041120052337646,3.4
2012-06-08,0.6116495788097381,3.8
2012-06-10,0.98091059923172,2.0
2012-06-11,0.10613596439361572,2.6
2012-06-12,-0.0011241436004638672,2.4
2012-06-13,0.18209943771362305,3.8
2012-06-14,0.10994595289230347,5.6
2012-06-15,0.2192198395729065,2.4
2012-06-16,-0.21160445213317872,3.2
2012-06-17,-0.06345310807228088,2.2
2012-06-18,-0.29369841814041137,2.6
2012-06-19,0.516364586353302,2.4
2012-06-20,0.2303882956504822,2.2
2012-06-21,-0.003796982765197754,2.0
2012-06-22,-0.04469679594039917,2.2
2012-06-23,0.02598661184310913,2.5
2012-06-24,0.0,2.6666666666666665
2012-06-25,-0.15754643678665162,2.6
2012-06-26,0.0,2.0
2012-06-27,0.013395559787750245,2.2
2012-06-28,0.36746718883514407,3.4
2012-06-29,-0.42290642857551575,2.25
2012-06-30,-0.11402425765991211,2.8
2012-07-01,0.41617557406425476,2.0
2012-07-02,-0.19221041202545167,2.4
2012-07-03,0.5391272902488708,2.2
2012-07-04,-0.1909511685371399,2.0
2012-07-05,0.0,2.5
2012-07-06,-0.32956260442733765,4.2
2012-07-07,-0.09086432456970214,2.2
2012-07-08,-0.14154815673828125,4.2
2012-07-09,-0.13317309617996215,2.0
2012-07-10,-0.15303425788879393,2.8
2012-07-11,-0.23459386825561523,3.4
2012-07-12,-0.12826935052871705,2.6
2012-07-13,0.2810495734214783,2.6
2012-07-14,0.0,2.0
2012-07-15,0.0855577786763509,2.6666666666666665
2012-07-16,-0.30101717710494996,3.6
2012-07-17,-0.07063914537429809,2.2
2012-07-18,0.13757318258285522,2.6
